#data counter step time
2039.000000 98 309 10528
1955.000000 99 311 10529
1982.000000 100 314 10557
1953.000000 101 316 10578
1777.000000 102 318 10585
1579.000000 103 320 10605
1577.000000 104 322 10724
1528.000000 105 324 10732
1380.000000 106 326 10753
1468.000000 107 330 10864
1138.000000 108 332 10931
807.000000 109 334 10944
692.000000 110 336 10967
769.000000 111 340 11049
859.000000 112 346 11221
843.000000 113 348 11234
775.000000 114 352 11312
517.000000 115 354 11335
621.000000 116 357 11456
475.000000 117 359 11481
470.000000 118 361 11506
504.000000 119 364 11564
743.000000 120 369 11806
757.000000 121 373 11920
761.000000 122 375 11958
893.000000 123 377 12153
868.000000 124 379 12156
754.000000 125 381 12169
800.000000 126 387 12314
703.000000 127 389 12347
735.000000 128 391 12502
808.000000 129 395 12605
808.000000 130 400 12623
881.000000 131 404 12702
637.000000 132 409 12863
745.000000 133 412 12989
783.000000 134 415 13053
996.000000 135 421 13275
797.000000 136 423 13315
867.000000 137 425 13402
958.000000 138 427 13572
1017.000000 139 430 13631
1056.000000 140 432 13679
1262.000000 141 436 13903
1250.000000 142 438 13931
1226.000000 143 440 13973
1233.000000 144 443 14031
1335.000000 145 445 14159
1203.000000 146 447 14192
1243.000000 147 450 14246
1153.000000 148 452 14270
1046.000000 149 454 14295
1094.000000 150 456 14349
1135.000000 151 459 14395
1128.000000 152 464 14753
1199.000000 153 468 14943
1400.000000 154 471 15199
1316.000000 155 478 15327
1193.000000 156 482 15413
1026.000000 157 484 15416
1056.000000 158 487 15457
1015.000000 159 490 15712
1022.000000 160 492 15728
935.000000 161 494 15755
891.000000 162 497 15795
744.000000 163 499 15894
766.000000 164 501 15981
767.000000 165 503 15983
1175.000000 166 511 16418
1518.000000 167 516 16785
1482.000000 168 519 16808
1629.000000 169 523 16960
1785.000000 170 527 17117
1906.000000 171 534 17353
1710.000000 172 537 17382
1654.000000 173 539 17419
1597.000000 174 546 17581
1684.000000 175 548 17689
1638.000000 176 550 17727
1704.000000 177 553 17836
1690.000000 178 557 18040
1768.000000 179 561 18170
1794.000000 180 563 18219
1967.000000 181 568 18499
1838.000000 182 571 18515
1820.000000 183 574 18606
1826.000000 184 577 18698
1802.000000 185 579 18699
1853.000000 186 582 18864
1953.000000 187 586 18980
1885.000000 188 588 19025
2064.000000 189 590 19212
2127.000000 190 595 19355
2175.000000 191 597 19411
2194.000000 192 599 19503
2211.000000 193 602 19565
2130.000000 194 604 19597
2155.000000 195 606 19658
2274.000000 196 608 19823
2270.000000 197 610 19827
2419.000000 198 612 19976
2372.000000 199 616 20137
2231.000000 200 618 20140
2224.000000 201 620 20149
2072.000000 202 622 20167
2163.000000 203 625 20266
1997.000000 204 627 20365
2130.000000 205 631 20513
2325.000000 206 636 20742
2273.000000 207 638 20787
2323.000000 208 642 20847
2190.000000 209 644 20847
2093.000000 210 646 20860
1982.000000 211 648 20921
2017.000000 212 651 20976
1827.000000 213 653 21057
1789.000000 214 655 21103
1795.000000 215 657 21137
1630.000000 216 659 21175
1116.000000 217 661 21177
1076.000000 218 663 21188
1068.000000 219 665 21327
1033.000000 220 668 21415
961.000000 221 670 21473
922.000000 222 673 21556
967.000000 223 676 21604
957.000000 224 680 21670
896.000000 225 682 21684
890.000000 226 684 21693
752.000000 227 686 21695
634.000000 228 690 22027
577.000000 229 695 22106
629.000000 230 697 22187
819.000000 231 704 22432
876.000000 232 706 22520
689.000000 233 708 22538
728.000000 234 712 22663
934.000000 235 717 22991
940.000000 236 719 23005
976.000000 237 721 23075
876.000000 238 724 23101
883.000000 239 727 23153
1002.000000 240 730 23329
1135.000000 241 735 23497
1403.000000 242 738 23808
1755.000000 243 748 24300
1834.000000 244 752 24388
1734.000000 245 756 24427
1711.000000 246 758 24469
1729.000000 247 763 24636
1674.000000 248 766 24758
1869.000000 249 769 24981
